Overall Satisfaction,Attribute 00,Attribute 01,Attribute 02,Attribute 03,Attribute 04,Attribute 05,Attribute 06,Attribute 07,Attribute 08,Attribute 09,Attribute 10,Attribute 11,Attribute 12,Attribute 13,Attribute 14,Attribute 15,Attribute 16,Attribute 17,Attribute 18,Attribute 19,Weight
6,6,6,5,7,8,8,8,6,7,8,8,8,8,5,8,8,9,9,8,9,0.977463352
7,7,7,7,9,8,8,8,8,7,8,8,8,8,5,7,7,7,8,8,7,0.044481804
6,7,7,6,10,7,5,6,8,7,8,5,5,7,6,6,7,6,7,7,7,0.685959929
7,7,7,6,7,7,7,7,6,6,6,6,7,6,6,6,8,5,7,7,5,0.170374034
8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,0.020991058
7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,6,7,5,6,7,5,0.454311849
8,9,6,7,10,9,8,10,8,8,8,9,8,9,7,9,9,7,5,8,7,0.620584108
8,8,8,8,10,,,,,,,,,,,,,,,,,0.220421588
8,8,8,8,9,8,8,8,8,8,8,7,5,8,8,8,8,5,7,5,5,0.06590246
8,8,8,7,8,7,9,7,7,6,8,8,8,8,7,7,8,6,7,7,8,0.887070388
8,8,8,8,7,8,9,8,9,9,9,9,8,8,8,9,9,8,9,9,7,0.214201528
9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,8,10,10,8,0.753560546
7,8,8,5,10,8,10,10,9,4,6,5,6,7,8,6,8,4,8,9,4,0.979676299
8,8,8,6,9,7,9,9,9,6,8,9,5,6,8,5,6,7,8,8,7,0.918382928
8,7,8,9,10,9,10,9,8,6,8,8,6,8,8,7,8,10,7,8,5,0.19408636
9,9,9,8,10,8,9,10,10,8,8,8,6,8,8,9,8,8,8,9,9,0.405596388
8,8,8,5,9,8,8,8,8,6,7,7,8,7,5,4,8,8,7,6,7,0.452363386
8,8,8,8,9,8,8,8,8,7,8,7,7,8,9,5,8,6,8,8,6,0.719772346
8,9,9,10,10,9,10,10,9,7,9,10,9,8,10,10,9,10,9,7,10,0.674429057
6,8,8,8,9,7,9,9,9,8,8,8,8,8,8,8,9,5,7,8,7,0.03809229
9,7,9,7,10,9,9,10,10,9,9,9,10,10,9,9,9,7,9,10,7,0.639041665
9,9,9,9,10,8,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,0.320949101
5,5,1,4,10,8,7,10,8,6,6,6,5,6,7,7,7,10,7,9,10,0.394936781
7,7,8,5,10,8,8,8,8,6,6,6,8,7,8,7,8,7,8,8,7,0.301554899
9,9,9,9,10,,9,9,9,6,8,8,9,8,8,8,8,6,,,8,0.971580968
8,8,8,9,9,8,9,8,8,8,8,8,8,8,8,9,8,8,8,8,8,0.801393223
10,10,10,10,10,9,10,6,10,4,8,7,7,10,10,8,9,3,9,9,3,0.646781214
9,9,9,9,10,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,0.065466543
8,9,8,8,9,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,0.504800484
8,8,8,8,8,8,8,,8,8,7,8,8,8,8,8,8,5,8,8,7,0.037872237
9,9,9,8,10,9,10,10,9,9,9,9,9,9,9,8,9,8,9,10,8,0.240323417
5,4,3,3,5,4,6,6,6,6,8,7,6,7,4,6,7,6,6,1,6,0.098370631
5,5,5,6,9,,,,,,,,,,,,,,,,,0.822675725
7,7,7,7,10,9,9,9,9,9,9,9,9,9,9,9,9,6,9,9,6,0.685924377
6,5,6,5,8,6,6,6,6,6,6,6,6,6,6,6,5,4,5,6,4,0.050543828
9,9,9,9,10,9,9,9,9,9,9,9,9,8,9,9,9,8,9,9,8,0.738961178
5,5,6,6,8,6,7,8,6,6,7,7,5,8,7,8,8,6,6,6,5,0.641026031
8,8,8,9,5,8,8,8,8,8,8,8,8,8,9,9,6,7,6,7,7,0.367172855
10,10,10,10,10,9,9,9,9,9,9,9,9,9,10,10,9,5,9,9,5,0.993627509
8,8,8,6,7,7,7,8,8,6,8,6,8,7,8,8,8,6,8,8,6,0.480771112
7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,7,6,7,7,6,0.539841183
8,8,8,9,9,8,9,9,9,9,10,10,10,9,9,8,9,5,8,8,5,0.567231418
8,8,7,8,4,,,,,,,,,,,,,,,,,0.865847771
9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,8,0.885900389
8,5,8,8,10,8,9,8,8,5,8,8,7,8,8,6,9,8,8,8,8,0.631129077
7,8,7,7,9,7,7,9,7,8,8,8,8,8,8,8,9,7,7,7,7,0.119513355
9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.337433965
5,3,4,5,6,5,5,6,,6,6,6,1,4,5,6,1,4,4,3,4,0.078800327
8,8,7,7,8,8,8,8,8,5,7,7,7,8,8,8,7,8,8,8,8,0.130508757
10,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,10,10,10,0.723418078
7,7,7,7,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.408205465
8,7,8,8,9,8,8,8,7,8,7,7,8,8,7,8,8,6,7,8,6,0.278555523
8,8,8,8,10,9,8,7,8,8,9,8,8,7,8,5,8,5,9,9,5,0.488229837
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.46920891
8,8,8,8,8,,,,,,,,,,,,,,,,,0.089974917
6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,8,8,6,0.19398308
8,8,8,8,9,9,9,9,9,9,8,9,9,9,9,9,9,5,9,8,6,0.806126232
9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,8,9,0.706797201
8,8,8,5,10,8,8,8,8,7,7,7,8,8,6,8,7,7,8,9,7,0.502064124
6,6,7,6,8,6,7,6,6,6,6,6,4,6,6,6,6,5,6,6,5,0.447518854
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,0.724920735
6,6,6,4,8,7,8,8,7,7,7,6,5,7,4,7,4,4,4,6,4,0.877277999
7,6,4,5,10,7,7,10,7,7,7,7,7,7,8,8,8,7,6,7,7,0.781970206
8,8,7,7,9,7,8,9,7,7,6,7,8,8,7,7,7,7,8,8,7,0.345749101
9,9,9,9,10,9,9,9,9,4,9,9,9,9,9,9,9,8,9,9,8,0.100331514
9,9,8,9,10,8,8,8,8,8,8,8,9,8,9,7,8,7,8,8,7,0.679566282
6,6,6,6,9,8,9,9,7,4,6,6,6,4,8,7,8,6,7,7,6,0.571483924
8,8,10,8,10,8,8,9,8,7,8,7,7,8,7,7,8,6,8,8,7,0.29207156
8,9,9,10,10,10,10,10,10,8,8,9,10,10,10,10,10,8,10,10,8,0.68310056
8,8,8,8,8,7,9,8,8,8,8,7,7,8,7,8,8,7,7,7,7,0.053227416
10,10,10,10,10,9,10,10,10,8,10,10,10,10,10,10,10,9,9,9,9,0.267025467
9,9,9,8,10,9,9,9,9,8,9,8,9,8,9,9,10,9,9,9,9,0.011159704
8,9,8,9,10,8,9,9,9,8,8,9,5,9,9,9,9,5,9,9,7,0.647273708
6,8,8,6,8,8,5,8,8,8,7,6,8,8,8,8,8,5,8,8,7,0.115879968
8,8,8,8,10,9,9,9,9,8,8,8,8,8,8,8,9,8,9,9,8,0.489001071
9,9,9,9,10,9,10,10,9,9,9,9,8,9,9,9,9,9,9,9,9,0.739482025
7,7,7,7,10,,,,,,,,,,,,,,,,,0.808660268
8,7,8,5,6,7,8,8,7,6,6,6,5,7,6,7,6,6,7,6,6,0.883035366
5,8,7,8,10,9,9,10,8,5,7,7,6,8,8,9,10,2,8,9,5,0.082206118
7,7,7,8,9,8,8,8,8,8,8,8,8,8,8,7,9,9,8,8,8,0.29623575
9,9,9,7,10,8,8,9,9,6,7,8,8,9,8,8,9,6,9,7,6,0.20150139
10,9,10,10,10,10,10,10,10,8,10,10,7,10,10,10,10,10,10,10,10,0.10692999
8,8,8,8,10,8,9,9,9,9,9,9,9,8,8,8,9,6,8,8,7,0.912724606
9,8,9,6,10,9,10,10,9,8,7,7,8,7,7,2,9,4,9,9,4,0.326708704
10,10,10,10,10,,,,,,,,,,,,,,,,,0.436481527
10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.668925542
9,9,10,9,10,9,10,10,10,9,9,10,9,8,10,10,10,10,10,10,9,0.767459473
7,7,7,7,9,9,9,9,8,6,8,9,9,8,8,8,8,6,8,8,6,0.991098271
9,9,9,9,10,,,,,,,,,,,,,,,,,0.006759801
9,9,9,8,9,9,9,9,9,8,8,9,9,9,9,7,9,8,9,9,8,0.432661999
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,0.666097844
10,10,10,10,10,,,,,,,,,,,,,,,,,0.297988992
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.966280044
8,8,9,7,9,9,8,8,9,9,8,8,8,8,8,8,8,9,9,9,9,0.827765861
8,8,8,9,10,9,10,10,10,7,9,8,8,9,10,10,10,6,9,9,7,0.093055054
9,9,9,10,10,,,,,,,,,,,,,,,,,0.624173835
7,7,,7,10,8,9,9,9,8,9,9,6,9,7,8,8,6,8,8,6,0.103600484
8,8,8,8,9,8,8,8,8,5,5,5,8,7,9,9,9,8,8,8,4,0.330091224
8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,9,5,0.59251108
7,7,8,6,6,6,6,8,8,5,5,6,6,7,7,8,8,6,6,6,6,0.714918072
7,7,7,7,9,6,7,8,7,7,7,7,7,6,7,6,7,7,7,7,6,0.191301966
9,8,9,8,9,9,10,9,9,8,9,9,8,10,9,9,9,8,9,9,8,0.37590573
8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.196141939
10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,0.395203863
8,8,9,8,10,9,8,9,9,8,8,8,8,8,8,8,8,7,8,9,7,0.641744316
4,5,5,5,9,9,8,8,7,8,7,7,4,7,8,8,8,8,5,8,8,0.4372291
4,4,5,1,6,6,7,6,6,4,5,6,5,6,1,6,7,1,6,6,1,0.798767203
10,10,9,9,10,10,10,10,10,10,10,10,8,10,10,10,10,8,10,10,8,0.575441126
9,9,10,9,10,9,9,10,9,9,9,9,9,10,9,9,9,9,9,10,9,0.106716314
10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,0.93900619
7,8,9,9,10,8,9,10,9,6,7,8,9,9,8,6,8,8,9,10,8,0.408320454
4,4,5,1,6,8,9,9,8,7,7,7,7,9,9,9,8,1,5,6,3,0.053210726
8,8,8,8,8,,,,,,,,,,,,,,,,,0.958647208
8,8,8,9,10,8,7,8,8,7,7,7,8,9,9,8,8,6,8,8,7,0.177495104
8,9,9,8,10,,,,,,,,,,,,,,,,,0.683334603
8,7,8,8,10,9,9,9,10,9,8,8,9,8,8,8,8,7,9,9,7,0.022321027
6,7,7,6,8,8,9,9,8,7,6,7,8,8,8,6,8,6,7,7,4,0.825890778
9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.918947433
5,4,5,5,4,7,8,7,7,6,7,7,7,7,8,7,7,5,7,7,6,0.697288774
8,8,8,7,10,,,,,,,,,,,,,,,,,0.985567276
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.671285926
7,7,9,6,10,9,9,8,9,7,7,9,8,7,9,6,10,7,9,9,7,0.469499116
8,8,7,8,10,8,9,10,10,9,8,8,6,8,10,5,7,8,8,8,8,0.315688633
6,6,7,5,8,,,,,,,,,,,,,,,,,0.163766807
9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,7,0.367121222
8,8,8,7,9,8,8,8,8,6,6,7,8,8,8,8,8,5,8,8,5,0.076506848
8,8,8,8,10,10,8,10,8,8,8,8,8,8,8,8,8,8,8,8,8,0.809506296
8,8,8,8,10,8,8,9,9,9,9,8,8,9,7,8,8,5,8,8,6,0.751338143
8,8,8,7,10,10,9,9,9,8,8,7,7,8,10,6,8,5,9,9,5,0.686490817
8,8,10,10,8,,,,,,,,,,,,,,,,,0.912367057
8,8,9,9,10,9,10,10,10,9,9,9,9,9,10,9,9,9,9,9,9,0.488792578
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.024524725
8,8,8,9,9,9,8,8,8,9,9,9,8,8,9,5,9,7,8,9,8,0.36280907
9,9,9,9,10,8,9,9,9,8,8,8,8,9,8,8,9,7,9,9,6,0.073977036
9,8,8,8,10,6,8,8,8,5,6,7,4,7,7,8,7,6,7,7,6,0.775790424
5,5,5,5,7,,,,,,,,,,,,,,,,,0.008764668
8,8,8,8,10,7,8,8,8,7,8,7,8,7,8,8,7,7,8,8,7,0.256134052
7,7,7,6,9,7,7,7,7,6,7,7,8,8,7,7,7,7,7,7,7,0.091683843
5,5,6,5,6,6,6,6,6,4,5,5,6,6,6,6,6,6,6,6,6,0.065841736
8,8,8,9,10,8,8,10,9,9,8,8,8,9,9,10,10,8,9,9,8,0.338766326
6,6,7,6,8,6,8,8,8,7,8,8,9,9,8,8,8,7,8,8,8,0.174826012
7,7,8,7,10,8,7,7,9,9,7,8,7,8,8,8,9,7,8,8,7,0.542794946
9,9,9,8,9,8,9,9,9,9,9,9,9,9,9,8,9,8,9,7,8,0.414571137
9,9,9,9,10,8,10,10,9,8,8,9,8,8,9,9,9,8,8,8,8,0.01900616
8,8,9,9,10,8,8,8,9,7,8,8,7,7,8,8,8,8,8,8,8,0.231023914
8,8,8,8,10,8,6,6,8,8,6,6,6,8,6,8,8,6,8,6,5,0.780184167
7,7,7,2,9,,,,,,,,,,,,,,,,,0.964067627
8,8,8,8,9,8,10,10,9,7,8,9,8,8,8,7,7,7,7,8,8,0.830430265
7,7,7,7,9,7,7,8,7,7,7,6,6,6,6,6,6,6,6,7,6,0.016109076
8,8,8,5,10,9,9,10,10,2,7,6,10,8,10,10,10,8,9,9,8,0.072552373
6,6,6,6,8,6,7,7,6,5,6,6,6,6,6,6,6,5,5,6,5,0.885975034
5,6,6,6,10,7,5,7,7,7,6,7,7,7,7,7,7,5,7,7,5,0.672075634
9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.660165314
10,10,10,10,9,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,0.466568357
8,8,8,5,10,10,10,10,10,10,10,10,6,7,10,10,9,6,10,6,10,0.499526695
5,5,5,4,7,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,0.973128631
7,7,8,7,10,7,7,7,8,7,7,7,8,7,8,7,7,4,6,6,4,0.832242381
8,7,8,8,10,,,,,,,,,,,,,,,,,0.661719489
8,8,8,7,9,8,8,8,8,8,8,8,8,8,,8,8,8,8,8,8,0.787488713
9,9,10,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.627959922
8,8,8,7,9,8,8,8,8,6,7,7,6,7,7,5,7,6,7,7,7,0.365067298
8,8,,8,10,8,9,9,8,7,7,8,8,7,6,7,7,7,8,8,8,0.132037714
10,8,10,7,10,8,8,8,8,6,7,7,7,7,8,8,7,7,7,8,7,0.99524393
10,10,10,10,10,9,9,9,9,9,9,9,9,10,10,10,10,8,9,9,9,0.838270744
8,7,7,5,4,8,9,9,9,9,9,6,6,6,8,7,7,6,8,8,6,0.259681067
8,9,8,9,10,,,,,,,,,,,,,,,,,0.832589274
8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.918559888
9,8,8,7,10,8,9,9,9,8,8,8,8,7,8,8,8,6,8,8,7,0.544358337
9,9,7,8,10,7,8,8,8,7,7,7,5,8,,5,7,5,8,6,5,0.335770688
8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,5,8,8,5,0.256447821
8,8,9,7,10,8,7,9,9,8,8,8,8,8,8,9,9,10,8,8,8,0.172938039
8,8,9,9,10,,,,,,,,,,,,,,,,,0.514344118
6,6,7,7,10,7,8,8,8,5,5,8,6,7,8,6,8,2,7,7,3,0.424238496
8,8,7,8,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.359821348
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.955893018
8,8,8,8,9,7,7,7,7,5,8,6,7,7,7,5,7,6,7,7,7,0.012348759
7,8,8,7,10,8,9,9,9,9,8,8,8,8,8,7,9,8,8,8,7,0.257952911
8,8,9,8,8,9,9,10,9,8,8,8,8,9,8,9,9,8,9,10,7,0.719402446
6,6,7,6,8,6,8,8,6,7,7,7,7,3,6,7,7,3,6,5,3,0.35478114
8,8,8,8,9,6,9,9,8,7,7,8,8,8,5,6,7,6,5,6,5,0.140943747
4,5,5,8,4,,,,,,,,,,,,,,,,,0.351801485
8,8,8,8,10,8,9,9,9,6,7,7,9,9,9,9,9,9,9,9,9,0.200426782
9,9,9,7,10,,,,,,,,,,,,,,,,,0.160330844
3,3,3,3,8,4,8,8,6,4,4,4,2,2,4,4,5,5,4,4,5,0.716961219
9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,8,0.698272568
4,5,5,4,9,,,,,,,,,,,,,,,,,0.65127312
7,7,7,7,9,,,,,,,,,,,,,,,,,0.286427277
8,7,8,8,10,6,8,8,8,6,8,8,8,7,8,8,8,8,8,8,8,0.64065328
9,10,9,10,10,10,10,10,10,8,9,10,8,9,10,9,9,8,9,9,8,0.805366372
7,7,8,8,6,8,9,9,8,7,8,8,8,8,6,8,8,4,9,9,4,0.440743152
10,9,9,10,9,9,10,10,9,8,9,9,10,9,9,8,9,10,7,9,9,0.084227085
8,10,10,10,10,8,10,10,10,9,10,,9,10,9,9,10,9,9,10,9,0.723996393
7,7,8,8,9,8,8,8,7,7,8,8,7,8,9,6,8,8,8,8,8,0.203086365
8,8,9,7,10,8,8,9,8,8,8,8,9,8,6,8,8,8,9,9,8,0.499512073
7,7,8,8,9,8,9,9,5,7,8,8,8,5,8,8,8,9,9,8,9,0.899698079
7,7,7,7,10,6,6,6,6,6,6,6,6,6,7,7,8,4,6,7,4,0.28748597
8,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,0.57496835
6,6,9,8,10,10,10,10,10,10,10,10,7,10,8,10,10,5,9,10,5,0.831923697
8,8,9,7,10,10,9,10,10,7,9,10,10,8,9,9,8,10,10,9,10,0.679772142
8,8,8,8,9,8,8,8,8,8,8,8,8,9,9,7,8,8,8,8,8,0.579423912
10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,0.285146762
6,6,7,7,8,7,8,9,8,6,6,7,5,6,6,7,8,7,7,8,7,0.961415233
10,10,10,8,10,10,10,10,10,8,10,10,9,10,10,9,10,10,10,10,8,0.238197053
8,8,8,7,8,8,8,8,8,6,7,7,7,7,7,8,8,7,7,7,7,0.282503384
10,10,10,10,10,9,,10,9,9,9,9,9,9,9,10,10,10,10,9,9,0.624230352
6,6,5,5,7,,,,,,,,,,,,,,,,,0.667877117
10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,10,9,0.473255877
9,8,8,8,9,9,10,8,9,4,7,7,9,4,9,6,7,4,9,9,3,0.96663349
8,9,9,8,9,8,8,9,8,8,8,8,8,8,7,6,9,8,8,8,8,0.256827922
8,7,7,7,10,6,10,10,9,9,7,7,8,9,5,8,8,7,8,8,5,0.296408127
9,9,9,7,9,8,9,9,9,8,7,8,5,7,5,6,9,5,8,9,5,0.581085722
9,9,9,8,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.893367956
7,9,9,7,10,8,10,10,10,8,10,10,5,7,8,8,10,5,9,9,7,0.274530516
9,9,9,8,9,9,9,9,9,6,7,7,9,9,9,6,9,7,7,8,7,0.091658309
8,8,10,8,10,8,8,8,8,8,8,7,7,7,8,7,8,5,7,8,5,0.661500287
7,7,7,5,3,8,9,8,8,8,8,8,8,8,6,8,8,8,8,8,8,0.464845956
8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,5,7,8,6,0.590382951
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.952414581
7,8,10,6,10,8,7,9,8,6,8,7,7,8,6,8,8,5,4,6,5,0.377018094
8,8,8,8,10,,,,,,,,,,,,,,,,,0.073811954
8,8,7,8,9,8,8,8,8,8,8,8,6,8,8,8,9,7,9,9,6,0.572829644
7,7,8,8,10,9,9,10,9,8,8,8,8,9,9,9,10,8,8,9,9,0.424361191
7,7,7,7,9,8,8,8,8,8,8,8,8,7,7,7,9,8,8,8,8,0.258126986
7,7,7,6,10,9,9,9,9,9,9,9,9,9,2,10,9,9,9,9,8,0.009983505
5,5,5,5,10,7,6,6,6,5,5,4,5,5,4,6,6,6,6,7,6,0.301430563
8,8,8,7,10,7,7,7,7,7,7,7,6,6,6,6,7,9,8,8,9,0.674728611
8,8,8,7,10,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,0.7290315
7,8,9,7,10,9,9,8,9,6,8,8,9,9,8,6,9,6,9,9,7,0.435814363
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.896090413
9,9,10,8,9,9,8,10,9,6,9,8,9,9,9,10,9,7,9,10,7,0.265239313
8,8,8,8,9,8,8,8,8,7,8,8,7,8,8,8,8,8,8,8,8,0.504868245
7,7,7,6,8,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,0.534242301
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.434036465
8,8,8,8,9,,,,,,,,,,,,,,,,,0.444791481
7,7,9,7,10,8,9,10,9,9,9,9,8,9,8,7,9,5,9,9,5,0.059290261
6,6,7,6,7,7,7,8,7,5,5,7,7,6,7,8,8,3,7,7,5,0.744549957
7,7,8,3,10,6,7,8,7,7,7,5,6,6,6,7,8,5,7,8,5,0.756733293
10,10,10,8,10,8,10,10,9,6,10,9,5,10,10,10,8,7,10,10,8,0.096371106
9,9,9,9,8,8,8,9,9,9,9,9,9,9,9,9,9,7,8,9,7,0.362556367
8,8,9,9,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,0.940332056
9,9,8,8,8,9,9,10,9,9,9,9,7,8,8,9,8,8,9,9,9,0.378482663
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.300137717
9,8,8,7,9,9,10,10,8,8,9,9,7,7,9,8,8,8,9,9,9,0.285976215
6,6,6,6,7,8,8,9,6,7,6,7,5,7,6,5,7,5,6,6,5,0.73294898
6,8,8,8,10,8,10,10,9,8,9,9,6,9,9,6,8,5,6,8,6,0.686638232
8,8,8,9,10,8,9,10,10,10,10,9,6,10,10,10,10,9,8,8,9,0.044702963
9,10,9,9,10,8,9,10,10,9,10,9,9,9,,9,9,8,9,9,9,0.748847798
8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.535070178
8,8,8,8,8,,,,,,,,,,,,,,,,,0.553618152
9,8,8,8,10,9,9,9,8,8,9,9,10,9,9,8,10,7,8,8,7,0.557498458
7,6,6,7,8,7,7,7,8,8,7,8,5,7,8,7,8,7,6,7,6,0.244250298
9,9,7,9,10,9,9,10,10,9,10,9,9,9,10,8,9,9,9,9,9,0.679005777
7,7,7,5,8,7,6,6,8,5,5,5,6,6,,5,7,6,7,7,6,0.836269372
9,9,9,9,9,9,9,9,9,9,9,9,9,,9,9,9,9,9,9,9,0.992575143
6,7,9,7,8,6,7,7,6,5,5,8,4,6,7,5,6,6,6,8,6,0.102647681
8,8,9,9,10,,,,,,,,,,,,,,,,,0.298277569
8,9,9,9,10,8,8,8,8,8,8,8,7,7,8,8,8,7,8,8,7,0.393357219
9,9,9,8,10,9,10,10,9,9,8,8,8,8,8,9,9,7,9,9,7,0.865653792
6,8,8,6,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.925615019
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.001277171
8,8,8,8,8,,,,,,,,,,,,,,,,,0.747741224
8,8,8,8,9,,,,,,,,,,,,,,,,,0.719188713
8,7,8,6,10,7,8,9,8,8,8,8,8,8,10,8,10,8,8,8,7,0.663758546
9,8,8,8,10,9,8,9,9,8,8,8,8,8,8,9,9,7,8,9,7,0.275682473
9,9,9,9,10,10,9,10,10,9,9,9,9,10,10,10,10,9,10,10,9,0.843618734
9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,8,9,10,8,0.960881733
7,7,7,6,10,7,9,9,8,5,6,6,6,6,5,7,8,5,8,8,5,0.980994641
10,10,10,10,10,9,10,10,10,8,10,10,8,10,8,10,10,8,10,10,8,0.661139738
4,4,6,5,8,6,6,8,8,7,7,8,3,8,8,6,8,1,5,7,1,0.421779913
10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,10,9,10,10,9,0.806226925
8,7,7,6,9,8,8,8,6,4,6,6,7,7,8,8,7,5,6,5,5,0.842684965
2,2,2,4,2,4,4,8,7,7,7,7,7,7,6,6,6,4,2,4,4,0.159307929
8,8,8,8,9,8,8,8,8,8,8,8,7,7,8,8,8,8,8,8,8,0.437092448
8,8,8,8,9,8,7,7,8,8,7,7,8,7,8,7,8,7,8,8,7,0.379172023
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,7,8,8,7,0.268141089
9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,8,0.165599114
8,9,9,8,10,9,8,8,8,8,8,8,9,9,8,7,8,7,8,9,8,0.962732781
10,10,10,10,10,,,,,,,,,,,,,,,,,0.632816582
10,10,10,10,10,,,,,,,,,,,,,,,,,0.493771928
8,8,8,8,9,8,8,8,8,8,8,8,7,8,8,8,9,7,8,8,7,0.963351403
8,7,9,6,9,7,9,9,8,6,7,8,6,8,8,9,9,7,8,8,8,0.231726636
9,10,10,9,10,8,9,9,4,4,8,8,8,8,8,8,8,5,7,6,7,0.72867142
8,9,8,7,9,8,9,10,9,7,9,8,7,9,9,9,9,9,9,9,9,0.169262771
8,7,7,7,9,6,7,7,6,6,6,4,5,5,5,6,6,6,6,7,7,0.248280572
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,0.951094761
8,8,8,7,9,7,7,7,8,5,7,7,8,6,6,7,8,6,8,8,8,0.866439262
10,9,9,7,10,9,10,10,8,9,8,8,7,8,9,8,8,5,7,8,6,0.179594633
7,7,7,6,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,0.789265422
8,8,8,8,10,8,9,9,8,8,8,9,9,8,8,9,8,8,8,8,8,0.845191968
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.538790918
8,7,7,7,9,9,8,9,9,7,7,8,6,8,9,9,9,6,7,8,7,0.93388983
10,10,10,10,10,,,,,,,,,,,,,,,,,0.33636755
9,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,8,10,10,8,0.65936631
9,9,9,9,10,7,7,8,7,4,6,6,5,6,9,7,7,4,7,7,5,0.922681284
8,8,9,9,9,9,9,9,9,9,9,9,9,9,8,8,9,9,9,9,9,0.286737309
8,8,8,8,9,8,7,8,7,7,8,8,8,7,8,7,8,7,7,8,7,0.024668432
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,9,5,0.423966574
9,9,9,9,10,9,9,10,10,8,9,9,5,8,9,9,5,5,9,9,5,0.241882431
8,8,8,9,7,10,10,10,10,10,9,9,10,10,9,10,10,8,10,10,8,0.728494153
